id,brand,color_name,color_code,finish_type,texture_code,image_url,source_image_url,notes
MEL-AGT-001,AGT,Soft Touch White,734,soft_touch,,/melamines/MEL-AGT-001.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-white-734.jpg,
MEL-AGT-002,AGT,Soft Touch Antique White,647,soft_touch,,/melamines/MEL-AGT-002.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-antique-white-647-G2S.jpg,
MEL-AGT-003,AGT,Soft Touch Arctic Grey,313,soft_touch,,/melamines/MEL-AGT-003.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-arctic-grey-313.jpg,
MEL-AGT-004,AGT,Soft Touch Light Grey,729,soft_touch,,/melamines/MEL-AGT-004.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-light-grey-729.jpg,
MEL-AGT-005,AGT,Soft Touch Sunset Grey,399,soft_touch,,/melamines/MEL-AGT-005.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/11/Soft-Touch-Sunset-Grey-399-Cropped-2-1-e1667851244307.jpg,
MEL-AGT-006,AGT,Soft Touch Stone Grey,728,soft_touch,,/melamines/MEL-AGT-006.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-stone-grey728.jpg,
MEL-AGT-007,AGT,Soft Touch Storm Grey,726,soft_touch,,/melamines/MEL-AGT-007.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-Storm-grey-726.jpg,
MEL-AGT-008,AGT,Soft Touch Slate Grey,425,soft_touch,,/melamines/MEL-AGT-008.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2023/04/425.1-1.png,
MEL-AGT-009,AGT,Soft Touch Ocean Blue,736,soft_touch,,/melamines/MEL-AGT-009.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/07/736-e1721856253791.jpg,
MEL-AGT-010,AGT,Soft Touch Navy Blue,707,soft_touch,,/melamines/MEL-AGT-010.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-Navy-Blue-707.jpg,
MEL-AGT-011,AGT,Soft Touch Black,723,soft_touch,,/melamines/MEL-AGT-011.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-soft-touch-black-723.jpg,
MEL-AGT-012,AGT,Soft Touch Siena Wood,737,soft_touch,,/melamines/MEL-AGT-012.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-High-Gloss-and-supermatt-line-soft-touch-siena-wood-737.jpg,
MEL-AGT-013,AGT,SuperMatt Silver Grey,3018,supermatt,,/melamines/MEL-AGT-013.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/decotech-Vivid-White-3018.jpg,
MEL-AGT-014,AGT,SuperMatt Crisp Grey,3021,supermatt,,/melamines/MEL-AGT-014.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/Decotech-Crisp-Grey-3021.jpg,
MEL-AGT-015,AGT,SuperMatt Seal Grey,3024,supermatt,,/melamines/MEL-AGT-015.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/decotech-Seal-Grey-3024.jpg,
