brand,name,code,hex
BM,Frostine,,#eff2ec
BM,Gardenia,,#f4f1ea
BM,Steam,,#f1f0e7
BM,Mascarpone,,#f9f8e9
BM,Paper,,#f1f1e4
BM,Deep,,#efeddc
BM,Vapor,,#f0ede0
BM,Lychee,,#f6eddd
BM,Collector's,,#f2ebdd
BM,Etiquette,,#e6e1d6
BM,Sonnet,,#e4dcce
BM,Peau,,#e6dccf
BM,Fossil,,#e4decf
BM,Battenberg,,#eae6d1
BM,Refined,,#dfe0ce
BM,Jute,,#dad3bf
BM,Frappe,,#e8dcc4
BM,Harmony,,#decdb2
BM,Hush,,#d5cab0
BM,Pashmina,,#bcb3a2
BM,Elk,,#988669
BM,Coriander,,#958166
BM,Lodge,,#7e674e
BM,Tamarind,,#746147
BM,Morrel,,#b39779
BM,Truffle,,#c7b198
BM,Interlude,,#b9a38b
BM,Pensive,,#beab96
BM,Kangaroo,,#c0b299
BM,Cotswold,,#b6a796
BM,Weimaraner,,#a09383
BM,Carob,,#8d705e
BM,Kona,,#735742
BM,French,,#604e44
BM,Barista,,#59433b
BM,Wenge,,#3d2e2c
BM,Venetian,,#c5aa97
BM,Boudoir,,#dbc3af
BM,Terra,,#debfa0
BM,Lingerie,,#d5b696
BM,Serendipity,,#dab192
BM,Milk,,#d4a583
BM,Italianate,,#cc9a77
BM,Masada,,#a4683f
BM,Firenze,,#b97551
BM,Buttered,,#c47641
BM,Warmed,,#975b3b
BM,Satchel,,#815032
BM,Ipanema,,#c6a48d
BM,Head,,#f0dfd3
BM,Fondant,,#f9eee4
BM,Proposal,,#e9dad5
BM,Charmeuse,,#dccdc3
BM,Tea,,#a16f69
BM,Rustique,,#7d3f2f
BM,Salsa,,#ac5540
BM,Moroccan,,#b35d51
BM,Caliente,,#8b2829
BM,Pomegranate,,#8c393f
BM,Dinner,,#773738
BM,Ylang,,#f5eacf
BM,Subtle,,#f3e8d0
BM,Jicama,,#f3dfbd
BM,Flawless,,#eedcbe
BM,Handmade,,#efd8b3
BM,Soleil,,#fdeabe
BM,Safari,,#ebd3a9
BM,Oat,,#d0bb93
BM,Honeymoon,,#d9bb88
BM,Kurkuma,,#ba9358
BM,Etruscan,,#b08356
BM,Farm,,#c5a079
BM,Amulet,,#dac89b
BM,Citrine,,#c9ac6f
BM,Rattan,,#bca678
BM,Coastal,,#c3b494
BM,Splendor,,#cebe96
BM,Glacial,,#c4b89e
BM,Meditation,,#aca48d
BM,Elemental,,#b2ad8e
BM,Thicket,,#a2a17f
BM,Lapland,,#b5af8f
BM,Grasshopper,,#c6c498
BM,Agave,,#adaa6f
BM,Anjou,,#c8b77a
BM,Wasabi,,#b5a95d
BM,Spa,,#d6d4b9
BM,Urban,,#b2b697
BM,Aventurine,,#989d79
BM,Seedling,,#a4b793
BM,Croquet,,#b3b7a0
BM,Jojoba,,#868b75
BM,Wind,,#c8cbb7
BM,Flora,,#a4ad9f
BM,Lush,,#748172
BM,Boreal,,#54604f
BM,Crystalline,,#cad5c9
BM,Tranquility,,#bcc4bc
BM,Azores,,#8aa199
BM,Atmospheric,,#899e9b
BM,Blue,,#6f898e
BM,Dragonfly,,#3e625f
BM,Exhale,,#a0b9c2
BM,Schooner,,#537788
BM,Fiji,,#4f8093
