brand,name,code,hex
SW,Mulberry Silk,SW0001,#94766c
SW,Chelsea Mauve,SW0002,#beac9f
SW,Cabbage Rose,SW0003,#c59f91
SW,Rose Brocade,SW0004,#996c6e
SW,Deepest Mauve,SW0005,#6d595a
SW,Toile Red,SW0006,#8b534e
SW,Decorous Amber,SW0007,#ac7559
SW,Cajun Red,SW0008,#8d422f
SW,Eastlake Gold,SW0009,#c28e61
SW,Wickerwork,SW0010,#c19e80
SW,Crewel Tan,SW0011,#cbb99b
SW,Empire Gold,SW0012,#c19f6e
SW,Majolica Green,SW0013,#aeb08f
SW,Sheraton Sage,SW0014,#8f8666
SW,Gallery Green,SW0015,#708672
SW,Billiard Green,SW0016,#45584d
SW,Calico,SW0017,#8ca49c
SW,Teal Stencil,SW0018,#627f7b
SW,Festoon Aqua,SW0019,#a0bbb8
SW,Peacock Plume,SW0020,#739694
SW,Queen Anne Lilac,SW0021,#c0b6b4
SW,Patchwork Plum,SW0022,#7e696a
SW,Pewter Tankard,SW0023,#a39b90
SW,Curio Gray,SW0024,#988977
SW,Rosedust,SW0025,#cc8d84
SW,Rachel Pink,SW0026,#e8b9ae
SW,Aristocrat Peach,SW0027,#ecceb9
SW,Caen Stone,SW0028,#ecd0b1
SW,Acanthus,SW0029,#cdcdb4
SW,Colonial Yellow,SW0030,#efc488
SW,Dutch Tile Blue,SW0031,#9aabab
SW,Needlepoint Navy,SW0032,#546670
SW,Rembrandt Ruby,SW0033,#974f49
SW,Roycroft Rose,SW0034,#c08f80
SW,Warm Beige,SW0035,#eedac3
SW,Buckram Binding,SW0036,#d9c3a6
SW,Morris Room Grey,SW0037,#ada193
SW,Library Pewter,SW0038,#7f7263
SW,Mellow Mauve,SW0039,#c4957a
SW,Roycroft Adobe,SW0040,#a76251
SW,Dard Hunter Green,SW0041,#3a4a3f
SW,Ruskin Room Green,SW0042,#aca17d
SW,Peristyle Brass,SW0043,#ae905e
SW,Hubbard Squash,SW0044,#e9bf8c
SW,Antiquarian Brown,SW0045,#946644
SW,White Hyacinth,SW0046,#f3e5d1
SW,Studio Blue Green,SW0047,#6d817b
SW,Bunglehouse Blue,SW0048,#47626f
SW,Silver Gray,SW0049,#b8b2a2
SW,Classic Light Buff,SW0050,#f0eadc
SW,Classic Ivory,SW0051,#f2e0c3
SW,Pearl Gray,SW0052,#cbcec5
SW,Porcelain,SW0053,#e9e0d5
SW,Twilight Gray,SW0054,#c8bfb5
SW,Light French Gray,SW0055,#c2c0bb
SW,Classic Sand,SW0056,#d6bcaa
SW,Chinese Red,SW0057,#9e3e33
SW,Jazz Age Coral,SW0058,#f1bfb1
SW,Frostwork,SW0059,#cbd0c2
SW,Alexandrite,SW0060,#598c74
SW,Salon Rose,SW0061,#ab7878
SW,Studio Mauve,SW0062,#c6b9b8
SW,Blue Sky,SW0063,#abd1c9
SW,Blue Peacock,SW0064,#014e4c
SW,Vogue Green,SW0065,#4b5645
SW,Cascade Green,SW0066,#acb19f
SW,Belvedere Cream,SW0067,#f0cda0
SW,Copen Blue,SW0068,#c2ccc4
SW,Rose Tan,SW0069,#cd9c85
SW,Pink Shadow,SW0070,#dec3b9
SW,Orchid,SW0071,#bc9c9e
SW,Deep Maroon,SW0072,#623f45
SW,Chartreuse,SW0073,#e1d286
SW,Radiant Lilac,SW0074,#a489a0
SW,Holiday Turquoise,SW0075,#8ac6bd
SW,Appleblossom,SW0076,#dab5b4
SW,Classic French Gray,SW0077,#888782
SW,Sunbeam Yellow,SW0078,#f0d39d
SW,Pinky Beige,SW0079,#c9aa98
SW,Pink Flamingo,SW0080,#cd717b
SW,Skyline Steel,SW1015,#c6bfb3
SW,Venetian Yellow,SW1666,#f6e3a1
SW,Icy Lemonade,SW1667,#f4e8b2
SW,Pineapple Cream,SW1668,#f2eac3
SW,Merlot,SW2704,#51323b
SW,Rockweed,SW2735,#443735
SW,Charcoal Blue,SW2739,#3d4450
SW,Mineral Gray,SW2740,#515763
SW,Rookwood Dark Red,SW2801,#4b2929
SW,Rookwood Red,SW2802,#622f2d
SW,Rookwood Terra Cotta,SW2803,#975840
SW,Renwick Rose Beige,SW2804,#af8871
SW,Renwick Beige,SW2805,#c3b09d
SW,Rookwood Brown,SW2806,#7f614a
SW,Rookwood Medium Brown,SW2807,#6e5241
