sub_assembly,sequence,type,cost_type,assembly_code,description,unit_cost,qty,width_in,depth_in,height_in,unit_price,line_total,notes
Base Cab Material/Labor,1,Material,Fabrication,,BID_1B 3/4x4x8 PS Alder A1 VC,4.85,,23.125,32.5,,7.6732,,exterior panels
Base Cab Material/Labor,2,Material,Fabrication,,3/4 x4x8 BIRCH PLYWOOD,3.2188,15.1357,23.125,32.5,,5.0925,77.0780,
Base Cab Material/Labor,3,Material,Fabrication,,3/4 x4x8 BIRCH PLYWOOD,3.2188,14.8625,24,30.75,,5.0925,75.6867,
Base Cab Material/Labor,4,Material,Fabrication,,BID_1B 3/4x4x8 PS Alder A1 VC,4.85,,24,30.75,,7.6732,,
Base Cab Material/Labor,5,Material,Fabrication,,BID_1M 3/4x4x8 Hard Rock Maple Melamine PB,1.50,8.3333,31.25,32,,2.3732,19.7762,
Base Cab Material/Labor,6,Material,Fabrication,,BID_1B 3/4x4x8 PS Alder A1 VC,4.85,,32.25,32.5,,7.6732,,
Base Cab Material/Labor,7,Material,Fabrication,,3/4 x4x8 BIRCH PLYWOOD,3.2188,2.4772,4,30.75,,5.0925,12.6151,
Base Cab Material/Labor,8,Material,Fabrication,,BID_1B 3/4x4x8 PS Alder A1 VC,4.85,2,32.25,32.5,,7.6732,,
Base Cab Material/Labor,9,Material,Fabrication,,BID_1A Custom Stocked PVC Tape 3mm x 15/16,0.3320,12.9500,,,,,6.8021,edgeband LF
Base Cab Material/Labor,10,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,23.125,32.5,,2.4839,,exterior finish
Base Cab Material/Labor,11,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,23.125,32.5,,1.0284,,interior liner
Base Cab Material/Labor,12,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,24,32.25,,2.4839,,
Base Cab Material/Labor,13,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,24,32.25,,1.0284,,
Base Cab Material/Labor,14,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,32.25,28.5,,2.4839,,
Base Cab Material/Labor,15,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,32.25,28.5,,1.0284,,
Base Cab Material/Labor,16,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,3,32.5,,2.4839,,
Base Cab Material/Labor,17,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,3,32.5,,1.0284,,
Base Cab Material/Labor,18,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,608.125,,1548,1.0284,,large panel - back?
Base Cab Material/Labor,19,Labor,Fabrication,,LABOR CNC ROUTER 1,25.00,0.1062,1560,1548,258,92.3975,9.8126,6.37 min
Base Cab Material/Labor,20,Labor,Fabrication,,LABOR EDGEBANDER 2,25.00,0.0294,10.7917,,9.75,92.3975,2.7165,1.76 min
Base Cab Material/Labor,21,Labor,Fabrication,,LABOR DRILL & DOWEL,25.00,0.0250,1,,2,92.3975,,1.5 min
Base Cab Material/Labor,22,Labor,Fabrication,,LABOR BEAM SAW,25.00,0.0227,048.125,1104,828,92.3975,2.0974,1.36 min
Base Cab Material/Labor,23,Labor,Fabrication,,LABOR ROUGH ASSEMBLY BASE & WALL,25.00,0.1111,,,,,10.2654,6.67 min
Base Cab Material/Labor,24,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,780,,,92.3975,,
Base Cab Material/Labor,25,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,774,,,92.3975,,
Base Cab Material/Labor,26,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,048.125,,,92.3975,,
Base Cab Material/Labor,27,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,97.5,,,92.3975,,
Base Cab Material/Labor,28,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,0.0722,1560,18.125,1548,92.3975,6.6711,4.33 min
Base Cab Material/Labor,29,Labor,Finishing,,LABOR FINISH PREP,25.00,,780,,,92.3975,,
Base Cab Material/Labor,30,Labor,Finishing,,LABOR FINISH PREP,25.00,,048.125,,,92.3975,,
Base Cab Material/Labor,31,Labor,Finishing,,LABOR FINISH PREP,25.00,,774,,,92.3975,,
Base Cab Material/Labor,32,Labor,Finishing,,LABOR FINISH PREP,25.00,,97.5,,,92.3975,,
Base Cab Material/Labor,33,Labor,Finishing,,LABOR FINISH PREP,25.00,0.3006,1560,18.125,1548,92.3975,27.7747,18.04 min
Base Cab Material/Labor,34,Labor,Fabrication,,LABOR KITTING BASE WALL AND CARTS,25.00,0.1000,,,,,9.2398,6.0 min
Base Cab Material/Labor,SUBTOTAL,,,,Base Cab Material/Labor,130.5662,1.0000,32.25,24,32.5,226.0897,226.0897,
Rail Material/Labor,35,Material,Fabrication,,3/4 x4x8 BIRCH PLYWOOD,3.2188,1.2386,4,,30.75,5.0925,6.3075,
Rail Material/Labor,36,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,5,,4,1.0284,,
Rail Material/Labor,37,Material,Fabrication,,BID_1A Custom Stocked PVC Tape 3mm x 15/16,0.3320,3.0750,,,,,1.6152,
Rail Material/Labor,38,Labor,Fabrication,,LABOR CNC ROUTER 1,25.00,0.0039,4,24,30.75,92.3975,0.3604,0.23 min
Rail Material/Labor,39,Labor,Fabrication,,LABOR EDGEBANDER 2,25.00,0.0071,30,24,,92.3975,0.6560,0.43 min
Rail Material/Labor,40,Labor,Fabrication,,LABOR DRILL & DOWEL,25.00,0.0250,,0,0,92.3975,2.3099,1.5 min
Rail Material/Labor,41,Labor,Fabrication,,LABOR ROUGH ASSEMBLY BASE & WALL,25.00,0.0167,,,,,1.5430,1.0 min
Rail Material/Labor,42,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,0.0042,264,638,33,92.3975,0.3881,0.25 min
Rail Material/Labor,43,Labor,Finishing,,LABOR FINISH PREP,25.00,0.0178,,,,,1.6447,1.07 min
Rail Material/Labor,SUBTOTAL,,,,Rail Material/Labor,6.3252,2.0000,4,,30.75,12.7920,25.5841,qty=2 rails
Base Toekick,44,Material,Fabrication,,BID_1I 3/4x4x8 SHOP Plywd,1.75,2.5978,4,,32.25,2.7687,7.1925,
Base Toekick,45,Material,Fabrication,,BID_1I 3/4x4x8 SHOP Plywd,1.75,2.3564,4,,19.5,2.7687,6.5241,
Base Toekick,46,Material,Fabrication,,BID_1I 3/4x4x8 SHOP Plywd,1.75,2.5978,4,,32.25,2.7687,7.1925,
Base Toekick,47,Material,Fabrication,,BID_1C 1/4x4x8 MDF,0.7000,,4,,32.25,1.1075,,
Base Toekick,48,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,4,,32.25,2.4839,,
Base Toekick,49,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,4,,32.25,1.0284,,
Base Toekick,50,Material,Fabrication,,BID_1C 1/4x4x8 MDF,0.7000,,4,,21,1.1075,,
Base Toekick,51,Material,Fabrication,,BID_1A Wilsonart STD VG Finish 4x8,1.5700,,4,,21,2.4839,,
Base Toekick,52,Material,Fabrication,,BID_1F Wilsonart White Cabinet Liner,0.6500,,4,,21,1.0284,,
Base Toekick,53,Labor,Fabrication,,LABOR BEAM SAW,25.00,0.0147,258,,420,92.3975,1.3582,0.88 min
Base Toekick,54,Labor,Fabrication,,LABOR TOEKICKS,25.00,0.1250,,,,,11.5497,7.5 min
Base Toekick,55,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,80,,,92.3975,,
Base Toekick,56,Labor,Fabrication,,LABOR PANEL LAYUP,25.00,,84,,,92.3975,,
